,UNICAST (2048),UNICAST (34525),UNICAST (2054),BROADCAST (2048),UNICAST (35130),UNICAST (35020),BROADCAST (2054)
2021-05-07 20:56:35.879554,4.0,107.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.879836,4.0,108.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.880117,4.0,109.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.880392,4.0,110.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.880673,4.0,111.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.880959,4.0,112.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.881240,4.0,113.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.881521,4.0,114.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.881818,4.0,115.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.882100,4.0,116.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.882418,4.0,117.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.882725,4.0,118.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.883050,4.0,119.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.883337,4.0,120.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.883637,4.0,121.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.884157,4.0,122.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.884483,4.0,123.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.885143,4.0,124.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.885650,4.0,125.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.886213,4.0,126.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.886684,4.0,127.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.887045,4.0,128.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.887353,4.0,129.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.887648,4.0,130.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.887940,4.0,131.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.888234,4.0,132.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.888519,4.0,133.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.888863,4.0,134.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.889161,4.0,135.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.889455,4.0,136.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.889749,4.0,137.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.890066,4.0,138.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.890385,4.0,139.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.890672,4.0,140.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.890955,4.0,141.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.891235,4.0,142.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.891518,4.0,143.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.891805,4.0,144.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.892111,4.0,145.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.892406,4.0,146.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.892692,4.0,147.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.892974,4.0,148.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.893260,4.0,149.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.893782,4.0,150.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.894509,4.0,151.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.895242,4.0,152.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.895982,4.0,153.0,0.0,0.0,0.0,0.0,0.0
